,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
0,,,,,,,,,,,,,,
1,,,,231.09,,,,,,238.23,163.36,,,
2,,,,,,,,,-142.37,,,,-219.48000000000002,
3,,,,,,,,,,,,,,-212.89
4,,,,,191.84,,,,,,,,,
5,,,,,,,-130.32999999999998,,,,,,,
6,,101.74,,,121.0,,,,,-170.9,,,,-202.12
7,,,,,178.98000000000002,,,,,,,,,
8,,,-283.83000000000004,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,110.31,,,,,,,,,
13,,,,,,,224.23000000000002,,,111.21000000000001,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,244.49,,
16,,-245.89,,,,,,,,,,,,
17,,140.36,135.11,,,,,,,,,,,
18,,-146.52,,,,,,,233.05,-100.77,-296.76,,,
19,,,,,,205.45,,,,,,,,
20,,-186.0,,,,,,,,184.73000000000002,,,,
21,,,,,,,,,,139.7,,,,
22,,,-168.92000000000002,,,,,,,,,,,
23,,,139.34,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,-216.9,,,,,,,,,,,
26,,,,,171.73000000000002,,,,295.31,-299.13,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,-142.07999999999998,,,,,,,-134.77,,-246.77,
30,,,,,,-257.38,,,,,,,,-233.99
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,-205.81,,,,,,,,,,-264.91999999999996
34,,,,,,,,,,,,,,
35,,,,,-167.89,,,,,,,,,
36,,-158.53,,,,,-199.07,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,137.15,,,,-131.52,,,
39,,,,,,,,,155.22,,,-208.12,,
40,,,288.0,,,,,,,,,,-244.09,
41,,,,,,,,,,,,,,
