,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midx8,midx9,midx10,midx11,midx12,midx13,midx14,midx15,midx16,midx17,midx18,midx19,midx20,midx21,midx22,midx23,midx24,midx25,midx26,midx27,midx28,midx29,midx30,midy1,midy2,midy3,midy4,midy5,midy6,midy7,midy8,midy9,midy10,midy11,midy12,midy13,midy14,midy15,midy16,midy17,midy18,midy19,midy20,midy21,midy22,midy23,midy24,midy25,midy26,midy27,midy28,midy29,midy30
0,,,,,,,-0.09,,,,,,,,,,-0.07,-0.1,,,,,,,,,,,,,,,,,-0.060000000000000005,0.07,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,0.08,,,,-0.09,,,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,,,-0.08,,,,,,,,,,,,,,,,-0.07,
2,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,,,,,-0.07,,,,,,,,,,,,,0.07,,,,-0.09,,,,0.09
4,,,,,,,-0.060000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0.07,,,,,,,,,,,,,,,
5,,,,,,,0.07,,,,,,,,,,,,,0.060000000000000005,,,,,,,-0.1,,,-0.09,,,,,,,,,,,,,,,,,,,,,,,-0.060000000000000005,,,,,,,
6,,,,,,,,,,,,,,,-0.08,,,,,,0.08,-0.060000000000000005,,,,,,0.060000000000000005,,,,,,,,,,0.09,0.060000000000000005,,,,,,,,,,,,,,,,,,,,0.09,
7,,,,,,,,,,,,,,,,,,,,,,,0.08,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,-0.060000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,0.09,,,,,,,,,0.08,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.060000000000000005,,,,,,,,0.09,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,0.09,,,,,0.07,,,,,,,,,,,,-0.1,,,,,,,,
12,,,,,,0.060000000000000005,,,,,,,,,,,,,,,,0.1,,,,,,,,0.08,,,,,,,,,,,,,,,,,,-0.08,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,,,,,,,,,,,,,-0.1,-0.060000000000000005,,,0.09,,,
14,,,,,,,,,,,,,,,,,,,,-0.08,,,,,,,,,,-0.060000000000000005,,,,,,,,,,,,,,,-0.060000000000000005,,,,,,-0.07,,,0.07,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,-0.09,,,,,,,-0.07,,,,,,,,,,,-0.060000000000000005,,,,,,,-0.09,,,0.1
16,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,0.08,,,,,,,,,,,,0.07,,,,0.09,,,,,,,,,,,,,,
17,,,,,,,,,,,,0.08,,,,-0.1,,,,,0.07,,,,,,,,,0.09,,,,,,,,0.1,,,,,,,,,-0.09,,,,,,,,,,,0.07,,
18,,-0.09,,,,,,,,,,,,-0.060000000000000005,0.060000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,
19,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,-0.060000000000000005,0.08,,,,,,,,,0.07,,,,,,,,,,,,0.060000000000000005,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,
21,,,,0.08,,,,,,,,,0.09,,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,0.060000000000000005,,,,,,,
22,,,,,,,,,,-0.09,,,,,,,,,,,,,-0.09,-0.07,,,,,,,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,-0.060000000000000005,,
23,,,,,,,,,,,,0.060000000000000005,,,,,,,0.1,,,,,,,,,,,,,,,,,-0.09,,,0.09,,,0.08,,-0.07,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,0.060000000000000005,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,0.07
26,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,-0.09,,,,,,,,,,,,,,,-0.09,,,,,,,
27,,,,,,,,,,,-0.060000000000000005,,,,,0.08,0.060000000000000005,,,-0.060000000000000005,,,,,,,,,,,,,,,,,,,,,,0.060000000000000005,,,,,,,,,0.1,,,,,,,,,
28,,,-0.09,,,,,,,,,,,,,,,,,,,,-0.09,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,0.060000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.060000000000000005,-0.060000000000000005,,,,,,,,,,,0.07,,,,,,,,,,,,,
30,,,,-0.07,,,,-0.07,,,,,,,,,,0.09,0.08,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,-0.09,,,,,,,,,,,,-0.1,,,,,,0.09,,,,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,-0.09,,-0.060000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,0.07,,,,,,,,,,0.060000000000000005,,,,,
34,,,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,-0.09,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,-0.060000000000000005,,,,,,,0.08,,,-0.060000000000000005,,,,,,0.060000000000000005,,,0.08,,,,,,,,,0.060000000000000005,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,,,,
38,,,,,0.07,,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,,0.060000000000000005,,,,,,,,,,,-0.09,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,,-0.09,,,,,-0.1,,-0.09,,,,,,,
41,,,,,,,,,,,-0.09,-0.07,,,,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,0.07,,,
42,,,,,,0.07,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,,,-0.09,,,,,,,,,,,,,,,,,,,,,-0.08,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,0.060000000000000005,,,
45,,0.07,,,,-0.07,,,,,0.060000000000000005,,,,,,,,,,,,,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,,,
46,,,,-0.09,,0.060000000000000005,,,,,0.08,-0.07,,,,,,,,0.08,,,,,,,,,-0.07,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,0.08,,,,,,,,,,-0.060000000000000005,,,,,,,,,0.07,,,,,,,,,,,,-0.08,,,0.09,,0.07,,,,,,,,,,,,,
48,,,,,,,,0.09,,,,,,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,,,,,,
49,,,,,,,,,,,,,,,,,,-0.060000000000000005,,,0.07,-0.08,,,,0.060000000000000005,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,0.060000000000000005,,,,,,,,,,,,,,,-0.060000000000000005,,,,,,,0.09,,,,,,,,,,,,,0.060000000000000005,,,,,,,,,,0.08,,,,,,,
51,,,,,,,,-0.07,,-0.07,,,,,,,,,,,,,,,,,,,,,,0.08,,,-0.07,,,,,,,,,,,,0.060000000000000005,,,,,,,,,,,,,
52,,,,,,,,,,-0.09,,,,,,,,,,,,,,,,,,-0.060000000000000005,,,,,,,,,,,,,,,,-0.07,,,-0.09,,,,,-0.08,,,,0.07,,,,
53,,,,,,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,,,,,,,-0.07,,,,,,,,
54,,,,,,,,,-0.07,,,,,,,,0.060000000000000005,,,,,,,,,0.060000000000000005,,,,,,,,,,,0.060000000000000005,,,,,,-0.09,,,,,,,,,,,,0.07,,,,,
