,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
0,,,,,,,,,,,0.06,0.09,,
1,,,,-0.07,,,,,,,-0.07,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,0.09,,,
4,,,-0.1,,0.06,,,,,,,,,
5,,0.09,,,,,,,,,,,,
6,,,,,,,,,,,,,,-0.09
7,,,,,,,,,,,0.08,,,-0.06
8,,,,,,,,,-0.06,,0.06,,,0.07
9,,,,,,,,,,-0.1,-0.1,,,
10,,,,,,-0.08,,,,,0.07,,,
11,,-0.08,0.07,,,,,,,,,0.07,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,-0.07,-0.09,,-0.06,
14,,-0.08,,,,,,,,0.07,,,,
15,,,,-0.08,,,0.07,,,,,0.06,,
16,,-0.08,0.09,-0.06,-0.07,,,,-0.06,,0.06,-0.08,-0.06,
17,,,,,0.06,,,,,,,,0.07,
18,,,,,,-0.06,,,,,,,,
19,,,,,,,-0.07,,,,,,0.08,
20,,,0.1,,0.09,,,,-0.07,,,,,
21,,-0.07,,,-0.09,,,,,,,,,
22,,-0.07,-0.1,,,-0.08,-0.06,,,,,,,
23,,,,,,0.09,,,,,,,,
24,,,,-0.08,,,,,,,,,,
25,,,,0.07,,0.07,,,-0.07,,,,,
26,,,0.09,,,,,,,0.09,,-0.09,,
27,,,,,,,-0.07,,,-0.09,,-0.08,,
28,,,,,,,-0.06,,,,,,,
29,,,,-0.08,,,,,,,,,,
30,,,,,,,,,,,,,-0.09,
31,,,,,,,,,-0.09,,,,,
32,,,,,0.08,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,-0.07,,,0.06,,,-0.08,0.1,
35,,,,,,,,,,-0.09,,,,
36,,,0.08,0.09,,-0.08,,,,,,,0.06,-0.09
37,,,,,,,,,,,,,,
38,,,,,-0.07,,,,,0.06,,,-0.08,0.06
39,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,,,,0.08,0.07,,,,,,,,,
42,,,,,,,,,,,,,,-0.09
43,,,,,,,,,,-0.07,,,-0.06,
44,,,,,,,-0.08,,,,-0.09,,,
45,,-0.07,0.06,,,,,,,,,,,
46,,,,,,,0.08,,0.06,,-0.1,,,
47,,,,,,,,,,,,0.08,,
48,,,,,,,,,,,,,,
49,,0.08,,,,0.07,,,,,,,,
50,,,,,,,,,,,,,,
51,,,,0.07,,,,,,0.08,,,,
52,,,,,,,,,,,,,,-0.06
53,,,,,,0.07,-0.07,,,,-0.06,,0.06,
54,,,,,-0.06,0.07,,,,,-0.07,,,
55,,,,,,,,,-0.09,,,,,
56,,,,,,,,,,0.06,,,,
57,,,,,,,,,,,-0.07,,,
58,,,,,,,,,,,,,,
59,,-0.1,,-0.06,,,,,,,,,,
60,,,,,,,,,,,,-0.09,,
61,,,,,,,,,,-0.1,,,,
62,,,,,,,,,,,,,,0.08
63,,,,,,,,,,0.08,,,,-0.07
64,,,,,,,0.06,,,,,,,
65,,,,,,,,,,,,,,
66,,,,,,,,,,0.07,0.08,,,
67,,,,,,,-0.08,,,,,,,
68,,,,,0.09,,,,,-0.06,,,,
69,,,,,-0.08,-0.07,,,,,,,,
70,,,,,,,,,0.09,,,,,
71,,,-0.09,,,,,,,,,,0.08,
72,,,,,,,0.1,,,,,,0.06,
73,,-0.09,,,,,,,0.1,,,,0.09,
74,,,,,,,,,,,,,,
