,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
1,1142.9,1175.88,1538.9,1885.5,2127.2,2558.5099999999998,2547.3,639.48,657.31,859.01,671.92,615.86,505.86,486.61
3,1140.9,1341.3,1542.5,1894.6,2141.6,2360.4,2553.4,639.48,657.64,670.26,674.99,633.46,509.74,454.0
5,1132.7,1335.3,1537.0,1890.9,2140.1,2627.51,2541.1,641.52,648.73,669.03,684.02,646.98,524.58,431.58
7,1132.7,1335.1,1537.2,1891.6,2143.5,2366.4,2528.9,629.29,639.49,925.1,684.64,667.86,549.26,586.89
9,1128.7,1331.1,1533.0,1636.37,2137.9,2362.5,2533.0,631.33,636.17,652.08,689.04,687.82,577.86,468.27
11,1122.5,1546.1299999999999,1528.6,1881.0,2134.0,2365.3,2543.2,621.14,629.2,637.62,487.77,694.92,601.57,502.92
13,1118.5,1322.4,1526.1,1878.8,2132.9,2370.2,2547.3,617.06,617.47,481.62,913.89,704.44,816.51,519.23
15,1112.3,1315.7,1519.2,1871.0,2123.1,2580.64,2545.2,612.98,608.94,618.35,676.2,708.83,643.87,547.76
17,1112.3,1313.6,1515.2,1863.1,2111.4,2357.7,2539.1,606.87,598.78,606.6,663.74,510.27000000000004,660.14,572.22
19,1106.2,1306.9,1509.1,1857.5,2106.2,2355.5,2539.1,606.87,590.8,597.51,654.89,697.73,678.03,594.64
21,1100.1,1302.0,1505.0,1855.8,2103.6,2516.73,2543.2,600.75,581.84,588.36,639.45,536.88,689.46,612.98
23,1096.0,1297.6,1704.22,1852.3,2097.6,2616.56,2799.0800000000004,600.75,479.5400000000001,586.88,619.75,681.73,690.76,649.67
25,1094.0,1293.8,1494.8,1845.1,2089.7,2337.5,2537.1,594.64,577.85,580.55,603.82,659.42,698.13,676.17
27,1085.9,1287.0,1690.3700000000001,1842.3,1910.55,2337.7,2539.1,594.64,584.16,580.82,590.54,633.19,978.28,700.63
29,1083.8,1284.9,1487.0,1732.04,1834.73,2038.3300000000002,2535.0,584.45,583.93,584.83,586.54,614.21,669.03,710.82
31,1081.8,1284.2,1487.0,1841.8,2094.5,2342.7,2528.9,590.56,585.93,584.8,579.44,595.73,646.41,725.09
33,1077.7,1282.5,1487.7,1846.4,1994.9700000000003,2354.7,2747.58,584.45,587.65,589.19,573.97,579.08,622.14,844.1
35,1077.7,1281.4,1485.7,1842.6,2097.4,2556.29,2530.9,586.49,786.82,594.0,720.02,562.68,343.85,502.01
37,1071.6,1277.3,1483.4,1674.36,2099.2,2355.1,2543.2,590.56,352.78000000000003,597.85,579.85,297.53,376.21000000000004,649.67
39,1067.5,1091.96,1476.8,1705.19,2089.3,2345.3,2537.1,582.41,607.01,608.81,583.7,549.35,769.83,358.34000000000003
41,1065.5,1270.0,1323.67,1834.6,2088.3,2343.9,2537.1,592.6,606.64,843.03,588.19,545.84,521.48,584.45
43,1065.5,1456.11,1473.5,1830.7,2081.6,2333.6,2530.9,588.53,607.58,316.43000000000006,601.17,551.83,677.9200000000001,551.84
45,1065.5,1268.0,1472.3,1829.2,2080.0,2542.45,2530.9,584.45,872.0,615.31,607.48,558.85,496.48,513.11
47,1061.4,1266.3,1472.2,1590.1499999999999,2085.7,2332.0,2537.1,590.56,488.83,615.29,608.81,565.43,267.21999999999997,500.88
49,1061.4,1267.6,1474.6,1836.8,2320.06,2334.4,2541.1,592.6,340.55,615.41,618.04,579.78,606.8,716.5899999999999
51,1061.4,1051.8600000000001,1472.5,1832.5,2283.8500000000004,2323.8,2524.8,596.68,600.79,613.4,625.62,893.25,496.02,641.85
53,1057.3,1263.4,1469.8,1830.5,2272.5,2061.4100000000003,2514.6,600.75,600.94,606.3,630.02,608.81,505.21,431.58
55,1055.3,1262.6,1470.5,1832.9,2091.6,2328.6,2258.65,594.64,417.03999999999996,601.58,631.51,620.19,520.56,413.24
57,1059.4,1266.4,1474.2,1836.1,2095.2,2561.06,2780.83,588.53,594.46,598.28,631.54,438.07000000000005,548.25,533.19
59,1055.3,1264.3,1473.8,1838.9,1951.23,2348.4,2518.7,586.49,587.74,418.16,629.09,639.92,567.35,445.85
61,1055.3,1262.6,1470.5,1830.8,2090.0,2343.4,2522.8,594.64,582.51,584.18,627.37,646.03,751.98,494.77
63,1055.3,1494.74,1470.6,1832.9,2090.7,2347.8,2522.8,584.45,713.0,577.44,610.35,645.14,618.93,509.04
65,1057.3,1474.1,1471.2,1832.6,2088.7,2347.4,2289.19,594.64,569.71,569.42,599.27,542.09,632.13,549.8
67,1057.3,1264.8,1366.81,1837.3,2093.6,2353.7,2547.3,592.6,572.48,568.49,589.17,637.31,645.23,570.18
69,1061.4,1267.9,1476.1,1839.2,2094.7,2353.5,2551.3,592.6,568.9,564.93,577.64,626.64,652.14,594.64
71,1055.3,1262.1,1470.0,1833.9,2091.0,2346.1,2551.3,596.68,574.28,566.05,566.91,824.56,870.87,629.29
73,1051.2,1257.4,1463.7,1825.2,2082.1,2333.0,2539.1,590.56,823.41,566.41,562.03,586.34,472.96999999999997,651.71
75,1059.4,1381.85,1621.46,1826.9,2082.4,2331.2,2649.87,582.41,576.16,566.54,554.89,567.69,625.19,670.05
77,1057.3,1148.24,1468.4,1828.1,2085.2,2338.8,2528.9,586.49,579.92,575.01,556.33,560.82,600.3,869.83
79,1059.4,1265.1,1471.3,1831.1,2088.5,2344.4,2533.0,586.49,581.88,580.22,554.6,547.86,575.27,655.79
81,1065.5,1267.3,1469.3,1822.2,2074.1,2326.2,2298.12,588.53,591.34,589.15,564.12,335.7900000000001,552.17,623.18
83,1057.3,1260.5,1464.6,1820.5,2073.4,2327.7,2518.7,586.49,602.83,600.1,574.76,542.13,529.38,594.64
85,1063.4,1122.73,1471.6,1828.8,2081.9,2335.5,2533.0,592.6,611.24,393.16999999999996,584.49,547.73,312.99000000000007,795.61
87,1061.4,1442.24,1473.9,1835.4,2089.8,2096.13,2547.3,586.49,610.81,612.53,594.56,546.55,211.78999999999996,525.34
89,1067.5,1267.7,1469.9,1822.7,1958.3400000000001,2313.1,2514.6,592.6,617.35,870.0500000000001,610.34,562.95,490.91,486.61
91,1065.5,1444.8700000000001,1465.2,1817.9,2065.3,2487.04,2502.4,578.33,614.96,628.21,624.85,803.64,488.63,468.27
93,1067.5,1269.2,1471.7,1827.0,1842.2300000000002,2311.2,2508.5,588.53,611.95,632.15,642.9,596.63,499.03,449.93
95,1061.4,1262.8,1463.6,1815.8,2066.3,2292.2,2480.0,594.64,607.65,628.75,653.08,628.0,519.14,447.89
97,1063.4,1263.2,1464.0,1814.9,2065.5,2294.6,2467.8,592.6,613.99,627.67,826.6400000000001,471.17999999999995,550.23,447.89
99,1057.3,1262.2,1466.9,1824.5,2080.9,2320.8,2480.0,598.72,908.12,627.48,506.08,665.57,579.63,164.51000000000005
101,1063.4,1459.59,1472.7,2077.67,2084.7,2330.3,2486.1,600.75,606.18,620.51,661.71,673.47,610.25,478.46
103,1057.3,1263.2,1468.9,1826.4,2082.6,2334.8,2498.3,596.68,602.44,614.1,911.9100000000001,680.25,637.47,513.11
105,1055.3,1406.22,1468.0,1826.2,2082.7,2337.9,2508.5,586.49,602.55,609.62,657.95,689.0,664.82,549.8
107,1053.2,1258.3,1463.2,1819.8,2072.5,2327.5,2512.6,592.6,595.2,603.92,641.52,684.92,678.82,594.64
109,1051.2,1256.2,1461.8,1819.2,1837.17,2327.5,2518.7,578.33,688.98,594.9,634.32,684.22,695.22,625.21
111,1051.2,1256.2,1461.4,1818.7,2070.9,2189.2999999999997,2522.8,584.45,580.65,589.48,624.59,672.32,705.99,653.75
113,1053.2,1259.6,1466.4,1826.5,2078.8,2334.2,2404.63,586.49,581.14,584.89,615.48,432.03000000000003,709.76,489.37999999999994
115,1057.3,1258.1,1459.4,1810.3,2056.6,2166.62,2502.4,582.41,575.05,320.65000000000003,603.85,653.89,707.52,696.55
117,1053.2,1255.7,1459.0,1814.0,2062.6,2309.6,2512.6,588.53,577.2,578.29,593.55,646.1,704.3,708.78
119,1057.3,1262.0,1467.2,1825.7,2076.3,2565.6299999999997,2526.9,580.37,572.96,287.03000000000003,578.9,629.83,701.5,710.82
121,1059.4,1264.7,1470.4,1618.5300000000002,2084.0,2327.6,2530.9,578.33,573.17,276.05000000000007,574.46,610.66,692.57,723.05
123,1061.4,1268.5,1475.6,1838.1,2095.6,2338.4,2700.1099999999997,574.26,575.38,569.81,565.7,592.18,811.35,729.16
125,1061.4,1267.2,1473.6,1834.5,2278.35,2339.4,2530.9,578.33,572.19,573.86,565.32,353.93,927.35,723.05
127,1067.5,1160.26,1478.4,1838.4,2095.6,2346.9,2524.8,564.07,576.12,577.18,560.85,564.65,615.29,716.93
129,1069.5,1275.0,1481.1,1841.4,1836.65,2143.7999999999997,2769.28,564.07,778.4200000000001,578.37,287.19999999999993,550.37,576.49,835.2
131,1067.5,1022.42,1717.14,1830.3,2084.4,2338.8,2526.9,564.07,579.6,584.07,566.83,549.08,556.82,631.33
133,1077.7,1280.1,1484.4,1841.2,2094.6,2349.4,2541.1,557.95,583.42,476.34,573.0,541.58,533.04,598.72
