,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midx8,midx9,midx10,midx11,midx12,midx13,midx14,midx15,midx16,midx17,midx18,midx19,midx20,midx21,midx22,midx23,midx24,midx25,midx26,midx27,midx28,midx29,midx30,midy1,midy2,midy3,midy4,midy5,midy6,midy7,midy8,midy9,midy10,midy11,midy12,midy13,midy14,midy15,midy16,midy17,midy18,midy19,midy20,midy21,midy22,midy23,midy24,midy25,midy26,midy27,midy28,midy29,midy30
0,1.2226,1.2558,1.2888,1.3222,1.3558,1.3895,1.4231,1.4568,1.4904,1.524,1.5577,1.5913,1.6249,1.6584,1.6918,1.7249,1.858,1.7912,1.8247,1.8582,1.8917,1.9252,1.9589,1.9923,2.0252,2.0586,2.0912,2.1224,2.1502,2.1769,0.90231,0.90764,0.91388,0.918,0.918,0.91701,0.91688,0.91651,0.91612,0.91544,0.91429,0.91268,0.91078,0.90829,0.90397,0.95818,0.89207,0.88681,0.88309,0.9400200000000001,0.96705,0.87505,0.87443,0.87798,0.88522,0.88798,0.89703,0.90931,0.9284,0.94886
1,1.2226,1.257,1.2914,1.3258,1.3603,1.3948,1.4293,1.3738,1.4983,1.5329,1.4873999999999998,1.6019,1.6363,1.6705,1.7047,1.6688999999999998,1.7129999999999999,1.8071,1.841,1.875,1.9093,1.9437,1.9782,2.0122,2.1061,2.0796,2.1129,2.205,2.1755,2.2048,0.91627,0.99344,0.91286,0.91644,0.91709,0.91874,0.91856,0.8186100000000001,0.91836,0.9175,0.91625,0.91454,0.91166,0.81731,0.9025,0.82762,0.89259,0.88671,0.88044,0.96463,0.87029,0.8073499999999999,0.86373,0.86854,0.93493,0.88325,0.89238,0.90508,0.92126,0.93955
2,1.2272,1.2614,1.2955,1.3295,1.3636,1.398,1.3322999999999998,1.4667,1.501,1.5354,1.5697,1.604,1.6383,1.6725,1.7066,1.7405,1.7744,1.8083,1.8424,1.8064,1.9105,1.9446,1.9788,2.0131,1.9874,2.0817,2.1156,2.1482,2.2493999999999996,2.2095,0.90231,0.90556,0.90993,0.91509,0.91798,0.91741,0.91786,0.91847,0.91864,0.9181,0.91679,0.91481,0.9722500000000001,0.90904,0.90492,0.89982,0.89415,0.88875,0.88398,0.8793,0.87485,0.87082,0.86759,0.86606,0.86638,0.86875,0.87436,0.88527,0.8997,0.91627
3,1.2272,1.2608,1.2942,1.3277,1.3615,1.3955,1.4295,1.4636,1.4977,1.5318,1.5659,1.6001,1.6342,1.7483,1.7023,1.7361,1.7699,1.8036,1.8373,1.8708,1.9042,1.8676,1.9713,2.0051,2.039,2.0731,2.1072,2.1408,2.1733,2.2048,0.88834,0.81444,0.90155,0.90812,0.91268,0.91587,0.91867,0.92039,0.92094,0.92074,0.92028,0.91961,0.9887600000000001,0.91719,0.91412,0.99986,0.90496,0.89993,0.89421,0.88768,0.8806,0.87393,0.86849,0.86375,0.86,0.85795,0.85874,0.86477,0.87523,0.88834
4,1.2319,1.266,1.2998,1.3335,1.3673,1.4014,1.4355,1.4697,1.404,1.6183,1.5726,1.6069,1.6412,1.6755,1.6497,1.7436,1.7774,1.8112,1.7851,1.8787,1.9723000000000002,1.9459,1.9798,2.0137,2.0476,2.0817,2.116,2.1503,2.1846,2.2188,0.88834,0.89178,0.89759,0.90431,0.90973,0.91424,0.91802,0.92021,0.92093,1.00092,0.92093,0.92093,0.8609399999999999,0.92006,0.91676,0.91177,0.80595,0.90008,0.98449,0.8879,0.88082,0.87409,0.86857,0.86361,0.8584,0.85458,0.76441,0.85566,0.85754,0.86041
5,1.2319,1.2654,1.2985,1.3319,1.4558,1.3997,1.4337,1.4677,1.5017,1.5357,1.5697,1.6038,1.6378,1.6118,1.7058,1.7398,1.7735,1.807,1.7504,1.8737,1.9071,1.9406,1.9041,2.0675,2.0409,2.0741,2.1075,2.1414,2.1754,2.2095,0.88834,0.89397,0.90214,0.99878,0.91206,0.91429,0.91639,0.8580099999999999,0.91945,0.92075,0.92178,0.9224,0.92239,0.92168,0.92054,0.91825,0.91365,0.90764,0.90082,0.8939,0.88756,0.8013600000000001,0.87511,0.86881,0.92235,0.85468,0.84795,0.8455,0.84518,0.84645
6,1.2272,1.3317,1.296,1.3299,1.3636,1.3977,1.4319,1.4662,1.5004,1.5348,1.5692,1.6036,1.6381,1.7325000000000002,1.637,1.7414,1.7757,1.8099,1.844,1.8779,1.9115,1.9448,1.9182,2.0113,2.0438,2.0767,2.1108,2.1452,2.1797,2.2141,0.88369,0.8851,0.88839,0.89453,0.90167,0.8165600000000001,0.9108,0.91466,0.91828,0.92131,0.92343,0.92469,0.8449300000000001,0.9248,0.92435,0.92243,0.919,0.91463,0.90963,0.90345,0.89575,0.88713,0.87835,0.92876,0.85741,0.84721,0.84191,0.84051,0.84043,0.7517900000000001
7,1.2272,1.3214000000000001,1.3754000000000002,1.2691999999999999,1.3631,1.3973,1.4316,1.4659,1.5002,1.5346,1.5689,1.6032,1.6376,1.742,1.7065,1.7409,1.7753,1.8096,1.8438,1.8776,1.911,2.0143,1.9773,2.0093,2.0405,2.0724,2.0363,2.1408,2.0852,2.2095,0.87903,0.88372,0.88922,0.89586,0.90152,0.90554,0.90921,0.91226,0.91473,0.91744,0.92037,1.02309,0.92519,0.92641,0.92657,1.00568,0.9239,0.92134,0.91722,0.91055,0.90225,0.89323,0.88353,0.87078,0.85609,0.8431,0.83728,0.83731,0.83857,0.78179
8,1.2272,1.2618,1.2362,1.3302,1.3643,1.3987,1.3631,1.4676,1.5021,1.6367,1.5713,1.6059,1.6404,1.6748,1.7094,1.744,1.7787,1.8132,1.8477,1.8822,1.9165,1.9508,1.9846,2.018,1.9907,2.0832,2.1155,2.1473,2.1786,2.2095,0.87903,0.88126,0.94557,0.89215,0.83778,0.90199,0.98608,0.81947,0.91211,0.8441399999999999,0.91601,0.91786,0.92029,0.92441,0.92503,0.9861200000000001,0.92448,0.92175,0.91883,0.91548,0.91121,0.90599,0.89874,0.88931,0.87804,0.86597,0.85342,0.83971,0.82485,0.87921
9,1.2179,1.2529,1.2881,1.323,1.3579,1.4529,1.4279,1.3829,1.498,1.4430999999999998,1.5681,1.6032,1.6383,1.6734,1.7085,1.7437,1.7789,1.8141,1.9092,1.8843,1.9193,1.9539,1.9882,2.0218,2.0547,2.0874,2.1204,2.1536,2.1863,2.2188,0.88834,0.88474,0.88558,0.8899,0.8945,0.89832,0.90211,0.90562,0.80886,0.91181,0.91482,0.91795,0.92089,0.92333,0.9249,0.8251700000000001,0.92448,0.92312,0.92127,0.91882,0.91472,0.9984,0.90039,0.88993,0.8773,0.86439,0.85223,0.84053,0.82745,0.81386
