,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
0,1.2226,1.3558,1.4904,1.7249,1.8917,2.0586,2.1769,0.90231,0.918,0.91612,0.95818,0.96705,0.88798,0.94886
1,1.2226,1.3603,1.4983,1.6688999999999998,1.9093,2.0796,2.2048,0.91627,0.91709,0.91836,0.82762,0.87029,0.88325,0.93955
2,1.2272,1.3636,1.501,1.7405,1.9105,2.0817,2.2095,0.90231,0.91798,0.91864,0.89982,0.87485,0.86875,0.91627
3,1.2272,1.3615,1.4977,1.7361,1.9042,2.0731,2.2048,0.88834,0.91268,0.92094,0.99986,0.8806,0.85795,0.88834
4,1.2319,1.3673,1.404,1.7436,1.9723,2.0817,2.2188,0.88834,0.90973,0.92093,0.91177,0.88082,0.85458,0.86041
5,1.2319,1.4558,1.5017,1.7398,1.9071,2.0741,2.2095,0.88834,0.91206,0.91945,0.91825,0.88756,0.85468,0.84645
6,1.2272,1.3636,1.5004,1.7414,1.9115,2.0767,2.2141,0.88369,0.90167,0.91828,0.92243,0.89575,0.84721,0.7517900000000001
7,1.2272,1.3631,1.5002,1.7409,1.911,2.0724,2.2095,0.87903,0.90152,0.91473,1.00568,0.90225,0.8431,0.78179
8,1.2272,1.3643,1.5021,1.744,1.9165,2.0832,2.2095,0.87903,0.83778,0.91211,0.98612,0.91121,0.86597,0.87921
9,1.2179,1.3579,1.498,1.7437,1.9193,2.0874,2.2188,0.88834,0.8945,0.80886,0.8251700000000001,0.91472,0.86439,0.81386
10,1.2272,1.3651,1.5034,1.7451,1.9182,2.0003,2.2095,0.893,0.90481,0.91191,0.99811,0.92547,0.87159,0.82317
11,1.2226,1.2802,1.5693,1.7419,1.9154,2.081,2.2095,0.88369,0.90312,0.90458,0.92348,1.00138,0.88585,0.83248
12,1.2226,1.3598,1.4975,1.7377,1.9093,2.0763,2.2002,0.893,0.90251,0.90261,0.92245,0.93493,0.90163,0.84179
13,1.2226,1.3584,1.4943,1.7309,1.9002,2.0698,2.1815,0.90231,0.90254,0.82786,0.83075,0.93501,0.86813,0.85576
14,1.2226,1.2802,1.4978,1.7383,1.9092,2.0795,2.2002,0.90696,0.90806,0.97244,0.91739,0.93846,0.92877,0.86507
15,1.2272,1.3648,1.5025,1.6635,1.9144,2.0858,2.2748,0.90696,0.91117,0.90286,0.91404,0.99642,0.94899,0.88369
16,1.2226,1.2809,1.5891000000000002,1.6817,1.8426,2.0849,2.2141,0.90696,0.8541599999999999,0.90069,0.96642,0.85697,0.8959699999999999,0.91162
17,1.2226,1.3615,1.5004,1.744,1.9763,2.0887,2.2234,0.91162,0.91374,0.90277,0.90675,0.93142,1.02551,0.92558
18,1.2226,1.3601,1.4973,1.7384,1.9093,2.0164,2.2141,0.92093,0.91301,0.90064,0.89999,0.92184,0.96256,0.95817
19,1.2179,1.3557,1.4937,1.7363,1.9086,2.0758,2.1441000000000003,0.91162,0.92102,0.90751,0.89992,0.9187,1.04244,0.95817
20,1.2226,1.3603,1.5982,1.7405,2.0028,2.0779,2.2141,0.91627,0.85147,0.90957,0.90123,0.91553,0.96505,0.96282
21,1.2272,1.2962,1.505,1.7485,1.8322,2.0853,2.2234,0.92558,0.91921,0.90847,0.89901,0.90871,0.9649,0.98144
22,1.2226,1.2912,1.4009999999999998,1.7457,1.9204,2.0063,2.1634,0.91162,0.92553,0.91534,0.89895,0.89788,0.94935,0.97679
23,1.2179,1.3558,1.4942,1.7363,1.9092,2.1682,2.2095,0.91627,0.92427,0.91614,0.90067,0.89447,0.92795,0.97213
