midx2,midx3,midx4,midx5,midx6,midx7,midy2,midy3,midy4,midy5,midy6,midy7,midx1,midy1,t
1431.2,1579.2,1926.2,2183.2,2425.2,2553.2,1004.78,1007.78,1004.78,947.78,929.78,1082.78,1247.2,978.78,0.0
1432.9,1589.9,1937.9,2143.9,2419.9,2552.9,1007.86,1011.86,1012.86,965.86,913.86,902.86,1245.9,983.86,0.01
1434.4,1563.4,1946.4,2142.4,2407.4,2548.4,1008.3,1003.3,1015.3,974.3,903.3,903.3,1244.4,989.3,0.02
1435.9,1566.9,1941.9,2162.9,2405.9,2536.9,1007.51,1001.51,1018.51,976.51,900.51,874.51,1243.9,993.51,0.03
1432.1,1572.1,1943.1,2171.1,2373.1,2534.1,1004.91,1000.91,1019.91,975.91,921.91,853.91,1244.1,995.91,0.04
1432.2,1575.2,1953.2,2179.2,2358.2,2528.2,1001.26,996.26,1021.26,993.26,935.26,844.26,1244.2,995.26,0.05
1435.9,1574.9,1940.9,2179.9,2358.9,2516.9,992.94,988.94,1018.94,1003.94,944.94,1116.94,1242.9,994.94,0.06
1434.6,1585.6,1945.6,2182.6,2346.6,2506.6,988.46,987.46,1019.46,1013.46,962.46,1116.46,1244.6,990.46,0.07
1436.3,1638.3,1945.3,2186.3,2336.3,2495.3,980.45,977.45,1019.45,1018.45,979.45,1111.45,1244.3,990.45,0.08
1435.2,1628.2,1949.2,2201.2,2340.2,2484.2,973.65,969.65,1014.65,1027.65,1028.65,1064.65,1244.2,987.65,0.09
1434.6,1667.6,1994.6,2230.6,2342.6,2473.6,969.46,963.46,1020.46,1020.46,1017.46,1017.46,1244.6,984.46,0.1
1437.3,1666.3,1986.3,2225.3,2343.3,2463.3,961.36,963.36,1011.36,1034.3600000000001,1031.3600000000001,970.36,1245.3,979.36,0.11
1437.1,1664.1,1988.1,2226.1,2357.1,2463.1,957.53,942.53,1006.53,1053.53,1046.53,970.53,1244.1,971.53,0.12
1435.5,1662.5,1999.5,2220.5,2392.5,2468.5,951.6,995.6,995.6,1032.6,1051.6,1005.6,1248.5,970.6,0.13
1436.4,1661.4,1958.4,2209.4,2346.4,2468.4,950.53,986.53,968.53,1015.53,1066.53,1031.53,1247.4,968.53,0.14
1436.5,1659.5,1982.5,2231.5,2357.5,2469.5,947.94,935.94,958.94,1031.94,1072.94,1055.94,1247.5,966.94,0.15
1435.0,1659.0,1957.0,2232.0,2375.0,2478.0,945.28,930.28,937.28,1039.28,1081.28,1095.28,1249.0,965.28,0.16
