t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midx8,midx9,midx10,midx11,midx12,midx13,midx14,midx15,midx16,midx17,midx18,midx19,midx20,midx21,midx22,midx23,midx24,midx25,midx26,midx27,midx28,midx29,midx30,midy1,midy2,midy3,midy4,midy5,midy6,midy7,midy8,midy9,midy10,midy11,midy12,midy13,midy14,midy15,midy16,midy17,midy18,midy19,midy20,midy21,midy22,midy23,midy24,midy25,midy26,midy27,midy28,midy29,midy30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,1173.5,1221.5,1269.7,1317.4,1365.5,1414.1,1462.5,1510.8,1558.9,1606.8,1654.5,1702.2,1749.7,1796.8,1843.9,1890.9,1937.9,1985.7,2033.2,2080.8,2128.5,2176.3,2224.4,2272.7,2321.3,2369.9,2418.4,2466.4,2512.7,2557.4,841.26,833.74,827.22,818.15,811.7,809.75,805.89,799.93,792.86,784.7,775.62,765.97,755.73,743.78,731.52,719.43,707.01,697.93,687.78,678.09,668.49,659.75,652.57,647.51,644.7,644.59,647.03,654.52,669.39,688.4
0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.03,1159.2,1208.2,1257.3,1306.1,1355.1,1404.6,1453.8,1502.9,1551.8,1600.4,1648.6,1696.8,1745.1,1793.1,1840.9,1888.4,1935.9,1983.4,2031.1,2078.7,2125.8,2173.7,2221.9,2270.8,2319.9,2369.1,2418.4,2467.4,2514.3,2559.5,861.65,855.13,849.42,841.48,836.51,834.78,830.32,825.01,817.89,808.9,797.76,787.14,776.6,764.94,752.19,738.78,725.12,711.57,698.62,685.3,670.45,658.18,647.34,640.32,634.84,629.69,627.7,634.64,649.99,670.05
0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.05,1153.1,1202.9,1252.4,1302.2,1352,1401.9,1451.7,1501.3,1550.7,1599.9,1648.9,1697.7,1746.4,1794.5,1841.7,1888.9,1935.9,1982.9,2030.2,2077.6,2125,2172.9,2221,2269.4,2317.4,2365.6,2415.5,2465.2,2514.1,2561.5,875.91,876.11,868.24,865.81,864.52,861.33,859.2,852.35,845.56,836.9,827.09,816.32,805.06,791.79,775.45,759.34,742.3,725.48,709.48,693.58,677.99,663.59,650.31,637.98,624.03,611.19,608.41,613.47,623.86,639.48
0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.07,1142.9,1192.7,1242.4,1292.1,1341.8,1391.6,1441.4,1491.2,1540.8,1590.2,1639.5,1688.5,1737.1,1785.4,1833.1,1879.7,1925.2,1972,2017.9,2063,2109,2154,2200.1,2247.3,2294.6,2342.6,2391.2,2441,2490.5,2539.1,892.22,889.41,885.22,884.44,884.79,880.77,879.12,876.07,871.53,865.49,858,848.92,838.01,825.5,811.08,793.44,773.21,755.99,736.66,715.62,696.31,674.97,655.99,640.03,624.26,610.99,600.09,596.79,601.85,612.98
0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.09,1128.7,1178.5,1228,1277.9,1327.9,1377.9,1428,1478,1528,1578,1628,1677.9,1727.5,1776.5,1824.8,1872.5,1919.8,1966.7,2013.2,2058.3,2102.1,2145.7,2189.9,2233.1,2276.2,2321.8,2371,2420.8,2470.7,2520.8,914.64,910.1,901.71,898.39,897.81,892.82,891.12,888.54,885.63,882.18,878.22,873.5,866.53,856.05,842.78,827.42,810.67,793.21,774.43,752.57,728.19,703.58,679.87,654.59,628.96,608.21,598.8,592.65,588.17,586.49
