t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midx8,midx9,midx10,midx11,midx12,midx13,midx14,midx15,midx16,midx17,midx18,midx19,midx20,midx21,midx22,midx23,midx24,midx25,midx26,midx27,midx28,midx29,midx30,midy1,midy2,midy3,midy4,midy5,midy6,midy7,midy8,midy9,midy10,midy11,midy12,midy13,midy14,midy15,midy16,midy17,midy18,midy19,midy20,midy21,midy22,midy23,midy24,midy25,midy26,midy27,midy28,midy29,midy30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,1142.9,1192.5,1242.2,1291.4,1340.7,1390.6,1440.1,1489.5,1538.9,1588.3,1637.8,1687.4,1737.1,1786.8,1836.2,1885.5,1934.5,1983.3,2032.1,2080.4,2127.2,2172,2216.1,2261,2305.3,2350.2,2398.6,2447.9,2497.6,2547.3,639.48,643.54,646.64,652.66,657.31,657.03,661.85,667.29,673.42,679.23,684,686.88,686.98,684.09,678.92,671.92,663.54,654.22,644.34,632.52,615.86,594.2,571.29,549.84,527.15,505.86,494.52,488.1,484.72,486.61
0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.03,1140.9,1191.2,1241.5,1291.3,1341.3,1391.9,1442.1,1492.3,1542.5,1592.6,1642.9,1693.2,1743.6,1794,1844.3,1894.6,1945,1995.1,2045.3,2094,2141.6,2187.7,2233.1,2275.9,2316.7,2360.4,2407.2,2454.9,2503.6,2553.4,639.48,642.41,645.98,652.84,657.64,657.27,660.8,665.12,670.26,675.19,679.14,681.28,681.53,680.46,678,674.99,672.62,667.98,662.47,649.83,633.46,612.92,591.09,564.53,534.99,509.74,491.2,474.88,461.85,454
0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.05,1132.7,1183.4,1234,1284.7,1335.3,1386,1436.5,1486.8,1537,1587.3,1637.6,1688.2,1738.9,1789.6,1840.2,1890.9,1941.5,1992.1,2042.6,2092.7,2140.1,2187.5,2233,2276.7,2318.6,2361,2405.2,2449.8,2495.1,2541.1,641.52,641.65,644.29,646.34,648.73,651.44,655.72,661.94,669.03,675.91,681.72,685.55,687.06,687.12,686.07,684.02,681.09,677.41,672.99,664.88,646.98,628.93,606.57,580.98,552.38,524.58,499.69,475.7,452.92,431.58
0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.07,1132.7,1183.1,1234,1284.5,1335.1,1385.9,1436.5,1486.9,1537.2,1587.6,1638.1,1688.8,1739.5,1790.2,1840.9,1891.6,1942.3,1993.1,2043.9,2094.3,2143.5,2191.2,2237.8,2282.9,2323.3,2366.4,2408.1,2449.2,2489.4,2528.9,629.29,635.34,633.86,636.78,639.49,639.59,644.93,650.87,657.49,663.88,669.2,673.14,676.3,679.34,682.2,684.64,686.46,687.46,686.65,680.67,667.86,650.63,630.32,606.94,576.22,549.26,520.23,490.46,459.45,427.51
0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.09,1128.7,1179.1,1229.8,1280.4,1331.1,1381.7,1432.3,1482.7,1533,1583.3,1633.6,1684,1734.5,1785,1835.4,1885.8,1936.3,1986.8,2037.4,2088,2137.9,2186.7,2234.4,2282.1,2321.7,2362.5,2404.2,2446.9,2489.7,2533,631.33,635.05,633.47,634.47,636.17,638.04,641.3,646.21,652.08,658.4,664.47,669.62,674.12,678.84,683.97,689.04,693.61,697.11,699.28,696.79,687.82,674.08,657.19,639.11,607.86,577.86,549.02,521.73,494.67,468.27
0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.11,1122.5,1172.8,1223.7,1274.5,1325.3,1376.1,1426.9,1477.8,1528.6,1579.2,1629.7,1680.1,1730.4,1780.8,1830.9,1881,1931.2,1981.8,2032.6,2083.4,2134,2184.3,2234.9,2279.7,2322.5,2365.3,2409.6,2454,2498.5,2543.2,621.14,626.97,624.78,626.88,629.2,631.16,633.41,635.34,637.62,641.93,648.14,655.2,662.33,669.6,678.05,686.9,694.76,700.53,702.26,699.82,694.92,687.68,679.96,656.43,629.11,601.57,576.6,551.9,527.31,502.92
0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.13,1118.5,1169.4,1220.4,1271.5,1322.4,1373.5,1424.5,1475.5,1526.1,1576.6,1626.9,1677.3,1727.7,1778.2,1828.5,1878.8,1929.2,1979.8,2030.8,2081.9,2132.9,2183.8,2234,2281.6,2326.3,2370.2,2414.7,2459.2,2503.3,2547.3,617.06,615.48,617.5,617.45,617.47,614.09,615.76,619.61,626.08,634.01,642.62,651.31,659.19,667.11,675.91,685.11,693.53,700.06,703.2,704.79,704.44,700.19,690.42,671.98,647.38,621.21,596.17,571.02,545.28,519.23
0.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.15,1112.3,1163.2,1214,1264.9,1315.7,1366.7,1417.7,1468.5,1519.2,1569.8,1620.3,1670.9,1721.4,1771.6,1821.4,1871,1920.8,1970.8,2021.3,2072.1,2123.1,2174,2225,2273.4,2319.8,2365.5,2411.5,2456.6,2501.3,2545.2,612.98,613.21,607.5,607.71,608.94,606.95,609.35,613.17,618.35,624.68,631.29,637.97,645.01,653.89,664.66,676.2,687.41,697.18,704.33,707.92,708.83,706.86,702.83,687.63,666.42,643.87,621.83,598.24,573.58,547.76
0.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.17,1112.3,1162.7,1213,1263.3,1313.6,1364.1,1414.5,1464.9,1515.2,1565.5,1615.7,1665.9,1715.8,1765.3,1814.4,1863.1,1911.9,1961.2,2011,2061.1,2111.4,2161.9,2212.1,2261.8,2309.9,2357.7,2404.8,2450.6,2495.3,2539.1,606.87,605.28,598.89,597.79,598.78,596.38,599.1,602.45,606.6,611.07,615.89,621.41,629.12,639.01,650.74,663.74,676.59,687.45,695.88,702.06,705.59,705.67,700.68,691.55,676.37,660.14,641.98,620.75,597.35,572.22
0.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.19,1106.2,1156,1206.8,1256.8,1306.9,1357.7,1408.2,1458.7,1509.1,1559.5,1609.7,1659.8,1710.1,1759.5,1808.5,1857.5,1906.4,1956,2006.1,2056.1,2106.2,2156.5,2207,2257.5,2307,2355.5,2403.4,2449.9,2495.1,2539.1,606.87,599.46,601.39,596.24,590.8,592.16,592.39,594.38,597.51,601.93,607.42,613.67,619.62,629.92,642.31,654.89,667.83,677.29,684.18,691.05,697.73,702.81,705.15,702.42,692.27,678.03,661.84,642.21,619.52,594.64
0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.21,1100.1,1150.8,1201.5,1251.5,1302,1352.8,1403.6,1454.3,1505,1555.7,1606.3,1656.9,1707.3,1757.2,1806.6,1855.8,1905.1,1954.5,2004.1,2053.8,2103.6,2154,2204.8,2255.5,2306.1,2356.6,2406.2,2453.7,2499.1,2543.2,600.75,598.12,593.99,585.89,581.84,582.47,583.79,586,588.36,591.39,594.99,599.75,605.92,615.04,626.77,639.45,651.71,663.22,673.93,684.5,694.28,700.4,701.93,699.07,695.07,689.46,678.93,660.94,638.13,612.98
0.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.23,1096,1146.5,1197.2,1247.3,1297.6,1348.3,1398.9,1449.6,1500.2,1550.8,1601.4,1652.1,1702.6,1753,1803,1852.3,1901.1,1951.3,2000.3,2048.6,2097.6,2147.1,2197.5,2248.2,2298.7,2349.2,2399.4,2449.2,2498.5,2547.3,600.75,596.8,594.4,587.44,582.94,583.67,584.3,585.6,586.88,588.38,590.1,592.09,594.81,600.37,608.51,619.75,633.13,641.49,653.64,668.75,681.73,692.37,697.4,698.15,695.6,690.76,684.14,674.93,663.36,649.67
0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,1094,1144.2,1194.4,1244,1293.8,1344.2,1394.4,1444.6,1494.8,1545.1,1595.3,1645.5,1695.7,1745.8,1795.6,1845.1,1894.5,1943.8,1993.1,2041.8,2089.7,2138.9,2188,2237.5,2287.3,2337.5,2387.6,2437.6,2487.5,2537.1,594.64,593.51,589.89,582.28,577.85,578.92,579.31,580,580.55,581.17,581.88,582.75,584.5,588.8,595.5,603.82,613.08,622.63,632.13,644.46,659.42,670.12,680.73,689.46,695.82,698.13,695.47,690.63,684.19,676.17
0.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.27,1085.9,1136.3,1186.9,1237.1,1287,1337.8,1388.2,1438.7,1489.2,1539.7,1590.2,1640.7,1691.2,1741.6,1792,1842.3,1892.3,1942.2,1992,2041.7,2091.1,2140.2,2189.3,2238.4,2287.8,2337.7,2387.9,2438.2,2488.6,2539.1,594.64,592.71,593.53,589.29,584.16,585.75,583.86,582.47,580.82,579.69,579.34,579.35,579.89,582.12,585.71,590.54,597.24,605.15,613.5,622.65,633.19,645,656.77,668.43,678.8,686.79,692.61,697.04,699.9,700.63
0.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.29,1083.8,1133.9,1184.5,1234.8,1284.9,1335.6,1386,1436.5,1487,1537.5,1588,1638.4,1688.9,1739.4,1789.9,1840.3,1890.7,1941.1,1991.3,2041.2,2091,2140.6,2189.9,2239,2288.2,2337.4,2386.8,2436.2,2485.6,2535,584.45,590.14,591.47,587.82,583.93,586.43,586.08,585.73,584.83,583.69,582.46,581.55,581.45,582.23,583.98,586.54,589.67,593.37,598.56,605.83,614.21,623.73,634.53,646.34,657.89,669.03,679.69,690.2,700.59,710.82
0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.31,1081.8,1132.4,1183.2,1233.7,1284.2,1335,1385.7,1436.4,1487,1537.7,1588.4,1639.1,1689.8,1740.4,1791.1,1841.8,1892.5,1943.2,1993.8,2044.3,2094.5,2144.6,2194.6,2244.4,2293.8,2342.7,2391.1,2438.6,2484.3,2528.9,590.56,589.44,590.56,587.87,585.93,588.35,587.29,586.23,584.8,583.29,581.81,580.61,580.02,579.68,579.39,579.44,580.06,581.45,584.19,589.06,595.73,603.57,612.09,621.6,633,646.41,661.48,679.09,700.98,725.09
0.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33,1077.7,1128.9,1180.2,1231.4,1282.5,1333.8,1385.1,1436.4,1487.7,1539,1590.3,1641.5,1692.8,1744.1,1795.2,1846.4,1897.7,1949,2000.3,2051.6,2102.8,2154,2205.1,2255.8,2305.6,2354.7,2403.3,2450.6,2496.4,2541.1,584.45,586.24,589.85,589.2,587.65,591.46,590.95,590.27,589.19,587.94,586.56,585.14,583.62,581.28,577.39,573.97,576.03,575.46,576.24,577.15,579.08,582.43,587.33,595.29,607.3,622.14,638.6,658.57,681.68,706.74
0.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.35,1077.7,1128.6,1179.5,1230.5,1281.4,1332.5,1383.6,1434.6,1485.7,1536.7,1587.8,1638.8,1689.9,1740.7,1791.7,1842.6,1893.5,1944.5,1995.4,2046.4,2097.4,2148.4,2199.4,2250.2,2301.5,2349.6,2399.2,2445.5,2488.9,2530.9,586.49,589.84,595.56,595.12,593.82,596.65,596.01,595.23,594,592.57,590.94,589.34,587.26,582.9,578.71,574.86,571.43,567.8,564.11,560.79,562.68,565.04,568.78,571.94,575.93,592.34,604.68,626.47,653.29,682.28
0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.37,1071.6,1123.1,1174.6,1226,1277.3,1328.8,1380.3,1431.8,1483.4,1534.9,1586.4,1637.9,1689.4,1740.9,1792.2,1843.3,1894.4,1945.4,1996.6,2047.9,2099.2,2150.7,2202.1,2253.6,2304.6,2355.1,2405.2,2453.5,2499.1,2543.2,590.56,591.92,595.63,595.91,594.71,598.88,598.61,598.45,597.85,597.01,595.86,594.43,592.63,590.19,586.52,579.85,572.57,565.57,559.64,554.79,550.62,547.34,549.2,551.59,558.69,568.94,581.04,598.92,622.96,649.67
0.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.39,1067.5,1118.5,1169.7,1220.3,1271.2,1322.7,1374,1425.4,1476.8,1528.2,1579.5,1630.9,1682.2,1733.3,1784.1,1834.7,1885.5,1936.4,1987.3,2038.2,2089.3,2140.4,2191.6,2242.8,2294.2,2345.3,2395.6,2444.5,2491.5,2537.1,582.41,588.73,593.67,602.06,607.01,606.67,607.42,608.02,608.81,609.29,609.2,608.33,606.02,600.52,592.43,583.7,575.82,568.65,561.81,555.21,549.35,544.49,539.76,535.98,536.61,542.45,552.61,568.54,589.31,612.98
0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.41,1065.5,1116.9,1168.4,1219.2,1270,1321.7,1373.1,1424.6,1476,1527.4,1578.8,1630.3,1681.6,1732.7,1783.7,1834.6,1885.4,1936.3,1987.2,2037.8,2088.3,2138.9,2189.9,2241.1,2292.4,2343.9,2395.1,2444.8,2491.9,2537.1,592.6,591.76,593.53,600.39,606.64,605.86,607.79,609.26,610.97,612.28,612.88,611.71,608.09,602.6,595.79,588.19,580.29,572.63,564.88,555.66,545.84,536.77,529.7,524.81,521.88,521.48,525.58,539.15,559.88,584.45
0.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.43,1065.5,1116.4,1167.5,1218.1,1268.8,1320.2,1371.3,1422.4,1473.5,1524.6,1575.7,1626.9,1678,1729.1,1780,1830.7,1881.1,1931.4,1981.7,2031.7,2081.6,2131.4,2181.5,2232,2282.8,2333.6,2384.7,2435.2,2484,2530.9,588.53,593.52,596.26,602.91,607.58,606.6,608.99,611.15,613.71,615.69,616.57,616.21,615.4,613.3,608.33,601.17,592.64,583.44,573.76,563.21,551.83,540.2,529.87,522,515.66,509.62,507.87,516.17,531.57,551.84
0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.45,1065.5,1115.6,1166.7,1217.2,1268,1319.2,1370.2,1421.3,1472.3,1523.4,1574.4,1625.5,1676.6,1727.7,1778.6,1829.2,1879.7,1930,1980.3,2030.4,2080,2129.1,2178.2,2227.3,2277,2327.5,2378.7,2429.7,2480.4,2530.9,584.45,594.2,597.26,604.43,608.08,607.93,610.06,612.41,615.31,618.05,620.26,621.44,621.24,619.2,614.41,607.48,599.17,590.18,581.03,570.86,558.85,544.61,530.35,515.99,504.1,496.48,496.17,499.47,505.24,513.11
0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.47,1061.4,1112.3,1163.9,1215,1266.3,1317.9,1369.3,1420.8,1472.2,1523.7,1575.2,1626.7,1678.2,1729.6,1781,1832.3,1883.4,1934.5,1985.6,2036,2085.7,2135,2183.9,2232.6,2281.7,2332,2383.4,2434.9,2486.2,2537.1,590.56,597.92,599.48,605.29,608.77,608.72,610.47,612.6,615.29,617.88,619.98,621.06,620.36,617.85,613.89,608.81,602.9,596.51,589.32,578.99,565.43,550.54,534.3,517.27,501.67,490.78,487.11,488.01,492.73,500.88
0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
