,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
0,1173.5,1365.5,1558.9,1890.9,2128.5,2369.9,2557.4,841.26,811.7,792.86,719.43,668.49,644.59,688.4
1,1159.2,1355.1,1551.8,1888.4,2125.8,2369.1,2559.5,861.65,836.51,817.89,738.78,670.45,629.69,670.05
2,1153.1,1352.0,1550.7,1888.9,2125.0,2365.6,2561.5,875.91,864.52,845.56,759.34,677.99,611.19,639.48
3,1142.9,1341.8,1540.8,1879.7,2109.0,2342.6,2539.1,892.22,884.79,871.53,793.44,696.31,610.99,612.98
4,1128.7,1327.9,1528.0,1872.5,2102.1,2321.8,2520.8,914.64,897.81,885.63,827.42,728.19,608.21,586.49
5,1124.6,1323.2,1522.8,1868.8,2102.3,2304.7,2494.3,924.83,907.36,900.64,858.16,771.88,626.48,568.14
6,1106.2,1306.8,1508.4,1860.6,2103.0,2303.9,2461.6,928.91,912.05,907.47,885.85,819.65,671.17,545.72
7,1096.0,1295.1,1495.2,1845.4,2091.5,2302.0,2435.1,932.98,914.83,910.2,904.25,868.47,737.64,588.53
8,1081.8,1283.1,1486.1,1840.8,2093.7,2318.4,2439.2,930.95,906.93,903.81,915.25,900.33,791.37,629.29
9,1073.6,1274.8,1476.7,1828.7,2080.8,2320.2,2451.5,922.79,907.92,896.65,918.6,925.41,856.34,704.7
10,1069.5,1265.8,1464.6,1811.7,2058.0,2302.5,2447.4,939.1,904.93,889.86,908.47,946.53,912.36,778.08
11,1061.4,1256.8,1456.3,1805.6,2051.3,2300.0,2465.7,953.37,909.83,885.09,895.09,947.13,952.92,845.34
12,1049.2,1242.9,1439.2,1786.6,2030.5,2269.1,2457.6,963.56,919.22,885.54,869.99,916.1,985.86,930.95
13,1047.1,1240.3,1433.8,1775.4,2019.8,2248.0,2441.3,973.75,937.43,902.18,865.71,882.36,972.23,1000.2
14,1034.9,1233.5,1431.1,1775.1,2024.7,2257.5,2433.1,988.02,961.14,927.68,858.56,858.72,944.19,1041.0
15,1030.8,1232.0,1432.3,1772.7,2024.7,2265.7,2414.8,1004.3,980.24,950.11,851.03,838.54,902.7,1039.0
16,1028.8,1226.9,1424.1,1756.6,1998.8,2245.2,2400.5,1006.4,996.88,974.63,877.06,827.77,840.59,959.48
17,1028.8,1222.3,1417.7,1748.8,1978.6,2220.9,2394.4,1039.0,1014.1,999.69,911.87,826.44,797.43,882.03
18,1022.7,1219.6,1416.7,1754.0,1982.0,2217.7,2406.6,1041.0,1031.1,1016.6,944.05,849.27,781.24,820.88
19,1024.7,1221.8,1419.6,1760.8,1989.7,2210.2,2404.6,1053.2,1039.0,1028.1,971.68,877.59,765.18,761.77
20,1016.6,1216.5,1417.4,1767.0,2007.8,2212.8,2400.5,1057.3,1039.0,1030.1,991.3,922.48,778.17,712.86
21,1018.6,1218.3,1418.6,1768.7,2013.7,2221.9,2363.8,1049.2,1034.2,1029.9,1011.5,965.12,829.62,688.4
22,1018.6,1219.7,1422.1,1776.2,2027.4,2248.6,2365.9,1041.0,1020.1,1019.4,1019.4,994.16,880.88,716.93
23,1014.5,1215.1,1417.3,1770.6,2023.3,2257.0,2378.1,1034.9,1013.1,1007.5,1025.0,1029.2,940.57,780.12
24,1014.5,1213.6,1414.0,1763.1,2012.5,2256.7,2402.5,1028.8,1005.7,991.92,1017.7,1045.9,997.88,861.65
25,1012.5,1204.4,1400.8,1743.8,1985.3,2230.5,2398.5,1047.1,1000.4,976.8,995.81,1048.3,1048.3,951.33
26,1002.3,1192.8,1388.2,1732.2,1970.5,2213.2,2398.5,1055.3,1004.2,973.72,972.69,1034.9,1080.2,1020.6
27,988.02,1184.8,1382.1,1732.2,1978.4,2212.9,2412.7,1055.3,1011.0,969.93,950.13,996.76,1088.6,1075.7
28,990.05,1183.8,1378.1,1722.9,1969.1,2193.8,2386.2,1067.5,1021.3,976.5,932.66,954.13,1060.9,1110.3
29,977.82,1176.8,1374.3,1718.1,1969.4,2202.7,2378.1,1079.7,1043.7,999.08,912.89,917.56,1012.7,1114.4
30,977.82,1176.7,1375.2,1713.3,1967.4,2209.5,2361.8,1102.2,1058.9,1012.3,897.96,885.87,955.87,1089.9
31,977.82,1177.9,1377.9,1712.7,1963.0,2211.1,2367.9,1120.5,1079.2,1035.3,907.98,863.23,898.09,1028.8
32,979.86,1177.9,1376.4,1701.8,1938.0,2188.0,2363.8,1136.8,1102.3,1067.6,931.9,845.58,840.84,935.02
33,975.79,1172.7,1368.9,1693.2,1913.2,2150.6,2329.2,1136.8,1116.7,1089.3,971.34,858.26,791.0,861.65
34,973.75,1174.6,1375.4,1709.8,1928.4,2154.6,2351.6,1145.0,1126.3,1107.9,999.97,874.56,766.06,798.46
35,975.79,1174.2,1372.6,1709.6,1926.5,2123.7,2319.0,1149.0,1137.5,1121.1,1038.9,918.28,767.53,731.2
36,975.79,1173.5,1372.2,1716.1,1941.0,2116.1,2284.3,1165.3,1141.2,1127.1,1071.6,968.56,792.55,688.4
37,971.71,1169.2,1369.8,1719.4,1960.3,2138.2,2249.7,1179.6,1143.8,1131.4,1092.2,1024.4,851.59,684.32
38,981.9,1181.1,1382.2,1734.1,1979.6,2180.7,2245.6,1161.3,1134.0,1126.6,1113.8,1062.7,920.09,731.2
39,983.94,1180.8,1381.9,1734.0,1983.4,2205.1,2294.5,1175.5,1137.3,1129.1,1125.5,1097.2,985.4,806.61
40,977.82,1178.1,1380.2,1735.9,1990.0,2226.8,2347.5,1175.5,1140.2,1117.6,1127.6,1127.5,1045.7,884.07
41,983.94,1182.5,1382.7,1735.9,1988.1,2236.4,2386.2,1183.7,1145.6,1117.2,1124.6,1141.1,1103.2,971.71
