t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
0.02,0.85929,0.99619,1.1347,1.377,1.5499,1.7087,1.8197,0.9454,0.96521,0.96572,0.95415,0.95953,1.0235,1.1062
0.03,0.85929,0.99486,1.1328,1.3744,1.5469,1.7117,1.8102,0.93593,0.9583,0.96198,0.95783,0.9529,0.99693,1.0921
0.04,0.85456,0.99226,1.132,1.3768,1.5518,1.7238,1.8244,0.9312,0.95647,0.96678,0.95418,0.94833,0.97814,1.0731
0.05,0.86402,0.9982,1.1344,1.3733,1.5436,1.7126,1.8244,0.91701,0.94386,0.95785,0.96763,0.95041,0.96396,1.04
0.06,0.85929,0.99187,1.1278,1.3678,1.5382,1.7095,1.8291,0.90755,0.94273,0.96102,0.96474,0.94601,0.94416,1.0069
0.07,0.86402,0.99676,1.1346,1.3785,1.5521,1.7245,1.8481,0.89336,0.93598,0.95892,0.96977,0.95134,0.94293,1.0069
0.08,0.86402,0.99556,1.1311,1.37,1.5402,1.7092,1.8386,0.89336,0.93095,0.9546,0.97649,0.95463,0.9245,0.96432
0.09,0.86402,0.99434,1.1263,1.3586,1.526,1.6903,1.8244,0.88862,0.9207,0.9454,0.97452,0.96323,0.92977,0.92647
0.1,0.86402,0.99931,1.1353,1.3745,1.5472,1.7129,1.8481,0.88862,0.91828,0.94441,0.97899,0.96899,0.91992,0.93593
0.11,0.85929,0.99355,1.1276,1.3632,1.5333,1.694,1.8291,0.89336,0.9162,0.94105,0.97773,0.97807,0.92474,0.9312
0.12,0.86402,0.99965,1.1351,1.3713,1.5425,1.7027,1.8386,0.89336,0.91277,0.93642,0.98232,0.986,0.93061,0.91228
0.13,0.86402,0.99914,1.135,1.3695,1.5389,1.7004,1.8244,0.88862,0.90915,0.92453,0.97269,0.99419,0.94635,0.88862
0.14,0.86875,1.0033,1.1382,1.3713,1.5381,1.7034,1.8197,0.89336,0.91167,0.92617,0.97235,1.0029,0.97105,0.90282
0.15,0.86402,1.0018,1.14,1.3776,1.5462,1.7162,1.8244,0.90282,0.91295,0.91945,0.96585,1.0042,0.98773,0.90282
0.16,0.86402,0.99998,1.1379,1.3743,1.5404,1.7116,1.8291,0.89809,0.9173,0.91474,0.9609,1.0063,1.0047,0.93593
0.17,0.84983,0.98759,1.1262,1.3659,1.5318,1.7025,1.8291,0.90282,0.9157,0.91254,0.94872,0.99836,1.0084,0.95486
0.18,0.86402,1.0015,1.1391,1.3769,1.5428,1.7103,1.8386,0.91228,0.91449,0.91067,0.94592,0.99179,1.028,0.98324
