t,midx1,midy1,midx2,midy2,midx3,midy3,midx4,midy4,midx5,midy5,midx6,midy6,midx7,midy7,midx8,midy8,midx9,midy9,midx10,midy10,midx11,midy11,midx12,midy12,midx13,midy13,midx14,midy14,midx15,midy15,midx16,midy16,midx17,midy18
0,1141.155151,630.550415,1354.155762,639.0592041,1564.356201,664.932312,1909.600464,665.7387695,2169.731934,594.5881348,2376.081787,489.4199524,2541.021729,484.9242249,1434.174194,722.671875,1482.853394,794.7185669,1543.966309,834.3079834,1554.695923,773.0588989,1543.152954,732.6697998,1440.931763,580.0450439,1495.040161,562.4749146,1611.328735,551.1326904,1622.405518,580.451416,1607.404541,595.7182617
1,1137.470093,630.4407349,1349.328735,637.1456299,1563.498657,665.1688843,1914.225464,671.6687622,2179.444336,595.1060791,2374.001953,488.4701233,2535.555664,474.2732239,1433.803589,722.348877,1484.03418,790.9776611,1545.071655,829.1276245,1553.480347,772.545166,1542.623901,732.4829102,1437.885986,577.4376221,1494.305664,558.0071411,1608.170532,545.8330688,1617.865234,574.9921875,1603.749878,593.9393311
2,1133.95459,631.0003052,1345.136108,635.1876221,1987.339722,669.4961548,1917.05603,678.2012939,2182.093018,609.3883057,2371.201172,493.1073608,2527.768555,470.9497375,1434.791992,720.3896484,1487.397827,786.7635498,1546.529297,823.3911743,1555.896606,770.0770874,1542.999512,731.6745605,1433.9104,575.4127808,1488.079224,552.8897095,1603.10144,540.0712891,1612.803223,571.0516968,1598.627319,590.833252
3,1131.891724,631.0889282,1336.078003,631.2206421,1565.905273,654.5584717,1915.697632,683.086853,2234.407471,589.6201172,2356.624512,506.4938965,2521.917969,466.5130615,1434.382813,719.2788086,1491.167725,783.8625488,1551.038696,814.9949951,1558.248657,767.385376,1543.765747,727.8453369,1431.526123,570.4968262,1485.830566,548.3071899,1589.861938,528.7432251,1607.815796,562.8948364,1596.885498,589.7203369
4,1128.961914,630.7632446,1334.662598,629.4672241,1563.428101,650.0740356,1920.428345,687.5151367,2160.871582,645.1417236,2355.793213,516.1560669,2517.571045,461.5836792,1433.753662,716.6090698,1495.047974,777.9108276,1551.839966,805.4344482,1560.859375,763.3264771,1541.732178,722.9678345,1429.210693,567.5596924,1484.870605,542.3998413,1586.338135,523.9002686,1604.272583,558.5374146,1590.773926,584.4954834
5,1127.429443,629.2189331,1333.151978,626.4293823,1562.855957,648.5160522,1876.107178,691.8759766,2187.693115,641.5608521,2355.88501,530.43396,2535.049072,392.796875,1432.972168,710.4723511,1491.393799,769.62854,1550.679199,793.427063,1562.239258,759.5528564,1550.262085,724.8653564,1427.373169,563.1426392,1485.925537,536.2136841,1584.050293,516.6455688,1987.692749,621.2249146,1591.834839,579.977417
6,1125.165161,626.4979858,1326.186646,623.1107788,1987.081909,689.7199097,1875.704102,691.65271,2195.515869,649.7380981,2357.197998,544.6149292,2530.187256,399.6871948,1431.271606,704.7736816,1489.514282,760.7549438,1554.770386,787.4702759,1566.580566,754.4342041,1549.937378,718.1311646,1424.516479,558.2354736,1488.782349,527.020813,1967.99353,614.7509766,1988.365234,623.6942749,1580.884155,575.0294189
7,1122.262939,623.9300537,1323.49646,620.4283447,1557.260864,644.09729,1874.537964,690.632019,2186.478516,663.94104,2355.993896,555.711731,2529.559814,418.0645752,1433.431885,706.2096558,1485.965332,752.8875732,1554.496826,779.0133667,1568.404419,750.213623,1554.24292,717.5169067,1421.638184,553.7132568,1483.747192,521.4707031,1573.694092,502.8680115,1989.168823,626.3425293,1986.959351,646.8012695
8,1119.842407,621.423584,1325.299438,612.8903198,1559.124756,634.5761719,1871.439697,688.1497192,2198.66333,668.8617554,2348.133545,572.6370239,2534.731445,436.3046875,1436.10083,705.2456055,1491.708496,747.2658691,1554.279541,769.2046509,1569.560913,741.9836426,1554.393311,707.0704956,1417.479858,548.4663696,1484.344238,514.5748291,1571.862549,496.4577026,1989.149414,628.7080078,1571.333862,561.7766113
9,1117.366089,617.6415405,1314.111206,606.5541992,1560.915771,631.5707397,1871.288574,683.7919312,2202.027344,676.2467041,2341.033691,589.1969604,2537.804443,452.1984558,1436.174805,699.8918457,1496.572144,742.149353,1554.104492,759.321228,1569.368164,732.5050659,1560.02124,705.7510986,1414.041138,543.4022217,1473.101685,513.6866455,1571.179688,490.7280884,1987.692139,629.2553101,1567.444458,557.2185059
10,1115.18396,613.821228,1308.875366,601.8060913,1558.795532,624.5737305,1870.492798,679.532959,2232.329834,678.5889893,2335.852539,602.2486572,2543.560303,464.9329529,1433.214478,692.376709,1501.259766,734.5567017,1554.296143,748.9781494,1565.711426,723.2841187,1559.942261,701.8892822,1412.553223,538.2416992,1469.55542,507.6955872,1566.947021,484.6328735,1985.167236,628.0988159,1565.393433,551.7786865
