,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
1,0.8227541436191483,0.9573675186296949,1.0929624494996935,1.3257314104554305,1.4923154620309818,1.6615637366536171,1.793022110687354,0.5898169159446482,0.5690920650836495,0.5558831276607397,0.5044005228324873,0.4686859117750017,0.45192935103150134,0.4826450383190641
3,0.8127282516261753,0.9500759608166236,1.087984559069616,1.3239786321349807,1.4904224614448962,1.661002847591073,1.7944944444765318,0.604112575926237,0.5864866371357935,0.5734319442050833,0.517967027032769,0.47006008997823434,0.4414827922416204,0.4697796454469623
5,0.8084514725242776,0.9479025156992659,1.087213336608618,1.3243291877990706,1.489861572382352,1.6585489579424433,1.7958966671328918,0.6141104234660828,0.6061247654381134,0.5928316946558219,0.5323818759401484,0.475346469392711,0.4285122326702917,0.4483466721445019
7,0.8013001369768425,0.9407511801518306,1.0802723344596368,1.3178789635798152,1.4786437911314732,1.6424233973943048,1.7801917733816612,0.6255455492286975,0.6203362920603206,0.6110395558486547,0.556289772231084,0.4881908289249673,0.42837201040465567,0.42976722194773376
9,0.7913443561166874,0.9310057326901297,1.0712981094589336,1.3128309620169196,1.4738061229670316,1.6278402817681625,1.7673614360759686,0.6412644652064915,0.6294647615532233,0.6209252255759917,0.580113535162638,0.5105422580673435,0.4264229209123155,0.4111947828642474
11,0.7884697996711496,0.927710509447684,1.067652330552398,1.3102368501026538,1.4739463452326678,1.6158512780562855,1.7487819858792004,0.6484087896406451,0.6361603747373417,0.6314489066119725,0.601665697390889,0.5411738119955246,0.4392322248781628,0.3983293899921456
13,0.775569351232639,0.916212283665533,1.057556327426607,1.3044877372115784,1.4744371231623936,1.6152903889937418,1.7258556454477165,0.6512693238596191,0.6394485868665055,0.6362374969834415,0.6210794700681913,0.5746659001426799,0.47056489013452385,0.3826104740143516
15,0.7684180156852037,0.9080092811258278,1.048301657894632,1.2938308450232436,1.4663743428883245,1.6139582774701997,1.7072761952509483,0.6541228469653114,0.6413976763588457,0.6381515309093727,0.6339799185067021,0.6088941551844241,0.5171677601186438,0.4126250499737344
17,0.7584622348250487,0.8995959451876686,1.0419215448081944,1.2906057329136158,1.46791678781032,1.6254565032523507,1.710150751696486,0.6526995909691062,0.6358588968662242,0.6336714295223028,0.6416921431166813,0.6312315621002368,0.5548384717817515,0.4412023477103484
19,0.7527131219339732,0.8937767211637753,1.0353310983233033,1.2821222858426387,1.4588724516767992,1.6267185036430745,1.7187744210330993,0.646978522531158,0.6365529970811223,0.6286514724125346,0.644040866066084,0.6488154342109893,0.6003896747736016,0.494073152968397
21,0.7498385654884355,0.8874667192101559,1.026847651252326,1.27020339326358,1.4428871133942966,1.6143088331342896,1.7158998645875616,0.6584136482937727,0.6344566742098644,0.6238909264941929,0.6369386083116214,0.6636229054621495,0.6396659313782413,0.5455207022302403
23,0.7441595637301782,0.8811567172565364,1.0210284272284327,1.2659266141616823,1.4381896674954913,1.6125560548138398,1.7287302018932542,0.6684185069469002,0.6378921197179461,0.6205466254587746,0.627557738740574,0.6640435722590574,0.6681030068492192,0.5926774501636224
25,0.735606005526383,0.8714112697948355,1.0090394235165558,1.2526054989262636,1.4236065518693486,1.59089171477308,1.723051200134997,0.6755628313810537,0.6444755550895557,0.6208621255564555,0.6099598444032577,0.6422880877456343,0.6911976139994662,0.6526995909691062
27,0.734133671737205,0.8695883803415676,1.005253422344384,1.2447530520506485,1.4161046606578234,1.5760982657484834,1.7116230854856642,0.6827071558152072,0.6572427923757121,0.6325286180573696,0.6069590879186476,0.6186325915328433,0.6816414665963737,0.7012515504455664
29,0.72558011353341,0.8648208233099441,1.0033604217582983,1.2445427186521945,1.419540106165905,1.582758823366193,1.7058739725945886,0.6927120144683349,0.6738661419668582,0.6504069569259577,0.601946141922161,0.6020583197346698,0.6619823049542085,0.7298568926353075
31,0.7227055570878722,0.8637691563176743,1.0042017553521143,1.2428600514645627,1.419540106165905,1.588507936257268,1.693043635288896,0.7041261068911041,0.687257368335095,0.6661328840170336,0.5966667736209661,0.5879098931319988,0.6328931959480232,0.7284546699789477
33,0.7213033344315124,0.8601934885439566,0.9984526424610388,1.2315721590808657,1.4013813227660448,1.5741351540295796,1.6830177432959228,0.7055984406802819,0.698923860836009,0.6833241337840056,0.6149167014934898,0.580358924127501,0.5893471713547677,0.6727022971620796
35,0.7213033344315124,0.8569683764343289,0.9939655299606873,1.2261034907210622,1.38721887393681,1.5570981487548075,1.6787409641940254,0.7284546699789477,0.7109969979072674,0.7008939836681947,0.6393223868274331,0.5794264460610217,0.5590872064305219,0.618401224794544
37,0.7170265553296148,0.855075375848243,0.9932644186325074,1.229749269627598,1.389602652452622,1.5548545925046315,1.6872945223978204,0.7298568926353075,0.7229158904863262,0.7127497762277173,0.6618841493682632,0.5954328176833694,0.5477362140272888,0.5755282670763413
39,0.7184287779859747,0.856617820770239,0.9952976414842292,1.2345168266592215,1.3950012096796076,1.549596257543282,1.6858922997414605,0.7384104508391027,0.7284546699789477,0.7208125565017863,0.6812558553658747,0.6152882904974252,0.5364763660967191,0.5340855764676256
41,0.7127497762277173,0.8529019307308853,0.9937551965622334,1.238863716893937,1.4076913247196643,1.5514191469965501,1.6830177432959228,0.7412850072846404,0.7284546699789477,0.7222147791581462,0.695011659624765,0.6467611780194222,0.5455838022497764,0.49979422140634516
43,0.7141519988840771,0.8541639311216092,0.9945965301560492,1.2400556061518428,1.4118278815559258,1.5577992600829873,1.6572869575517195,0.735606005526383,0.725089335603684,0.7220745568925103,0.7091741084539996,0.6766565650530144,0.5816559800846338,0.4826450383190641
45,0.7141519988840771,0.8551454869810611,0.9970504198046789,1.2453139411131924,1.421433106751991,1.5765189325453914,1.6587592913408973,0.7298568926353075,0.715203665876347,0.714712887946621,0.714712887946621,0.6970168380233596,0.6175949467671371,0.5026477445120374
