t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midx8,midx9,midx10,midx11,midx12,midx13,midx14,midx15,midx16,midx17,midx18,midx19,midx20,midx21,midx22,midx23,midx24,midx25,midx26,midx27,midx28,midx29,midx30,midy1,midy2,midy3,midy4,midy5,midy6,midy7,midy8,midy9,midy10,midy11,midy12,midy13,midy14,midy15,midy16,midy17,midy18,midy19,midy20,midy21,midy22,midy23,midy24,midy25,midy26,midy27,midy28,midy29,midy30
0.008,1.0095,1.0444,1.0794,1.1143,1.1493,1.1842,1.2191,1.254,1.289,1.3239,1.3587,1.3934,1.4282,1.4629,1.4973,1.5316,1.5659,1.6005,1.6352,1.6698,1.7045,1.7395,1.7744,1.8091,1.8437,1.8781,1.9099,1.9364,1.9602,1.9831,1.4431,1.4424,1.4424,1.4417,1.4403,1.4384,1.437,1.4362,1.4364,1.4382,1.4415,1.4452,1.449,1.4534,1.4595,1.4663,1.4729,1.4779,1.4823,1.487,1.4909,1.4925,1.491,1.4874,1.4822,1.4761,1.4615,1.4387,1.4132,1.3867
0.012,1.0095,1.0444,1.0794,1.1143,1.1493,1.1842,1.2191,1.2541,1.2891,1.3241,1.359,1.394,1.4289,1.4636,1.4978,1.5318,1.5659,1.6002,1.6346,1.6688,1.7032,1.738,1.773,1.8076,1.842,1.876,1.9082,1.9375,1.9628,1.9878,1.4431,1.4419,1.4414,1.4423,1.44,1.4382,1.4368,1.4361,1.4363,1.4369,1.4378,1.4391,1.4411,1.4456,1.4527,1.4609,1.4689,1.4755,1.4819,1.489,1.4955,1.4988,1.4972,1.4923,1.4856,1.4773,1.4638,1.4448,1.4205,1.3961
0.016,1.0095,1.0447,1.0798,1.1149,1.15,1.1851,1.2202,1.2554,1.2905,1.3257,1.3608,1.396,1.4311,1.4661,1.5007,1.535,1.5693,1.6036,1.6379,1.6722,1.7068,1.7418,1.7769,1.8121,1.8471,1.8819,1.9144,1.9416,1.965,1.9878,1.4431,1.4434,1.4428,1.4411,1.4379,1.4357,1.4342,1.4337,1.4339,1.4344,1.4354,1.4366,1.4381,1.4415,1.4479,1.4557,1.4635,1.4711,1.4789,1.4866,1.4928,1.4966,1.4983,1.4981,1.4948,1.4896,1.4762,1.4539,1.4276,1.4008
0.02,1.0189,1.0535,1.0881,1.1228,1.1574,1.192,1.2266,1.2613,1.296,1.3306,1.3653,1.3999,1.4345,1.469,1.5032,1.5371,1.5709,1.6048,1.6389,1.6728,1.7068,1.7411,1.7756,1.8103,1.8447,1.8788,1.912,1.9425,1.9677,1.9925,1.4431,1.4413,1.4408,1.4418,1.4399,1.4383,1.4371,1.4363,1.4361,1.4367,1.4378,1.4395,1.4413,1.4443,1.4498,1.457,1.4647,1.4718,1.4784,1.4855,1.4922,1.4975,1.5003,1.4997,1.4955,1.4891,1.4793,1.4631,1.439,1.4149
0.024,1.0142,1.0489,1.0836,1.1183,1.1529,1.1874,1.222,1.2567,1.2915,1.3262,1.361,1.3957,1.4304,1.4651,1.4996,1.5339,1.568,1.602,1.6359,1.6694,1.703,1.7371,1.7717,1.8064,1.8412,1.8758,1.9099,1.9409,1.9672,1.9925,1.4525,1.4503,1.4487,1.4478,1.4437,1.4401,1.437,1.4348,1.4338,1.4341,1.4352,1.4368,1.4388,1.4414,1.4455,1.4513,1.458,1.4651,1.4728,1.482,1.4911,1.4979,1.5013,1.5022,1.5012,1.4983,1.4912,1.4757,1.4527,1.429
0.028,1.0189,1.0539,1.0888,1.1239,1.1588,1.1936,1.2284,1.2634,1.2984,1.3334,1.3684,1.4034,1.4384,1.4733,1.508,1.5424,1.5764,1.6104,1.6444,1.6784,1.7125,1.7468,1.7816,1.8165,1.8516,1.8864,1.9211,1.9512,1.9775,2.0019,1.4431,1.4451,1.4468,1.4464,1.4436,1.4392,1.4358,1.433,1.4316,1.4316,1.4328,1.4346,1.4371,1.4406,1.4452,1.4518,1.4601,1.4687,1.4772,1.4857,1.494,1.5008,1.5054,1.5082,1.5084,1.5056,1.4997,1.482,1.4589,1.4337
0.032,1.0236,1.0583,1.093,1.1277,1.1623,1.197,1.2316,1.2663,1.301,1.3358,1.3705,1.4052,1.4399,1.4746,1.5093,1.5437,1.5776,1.6111,1.6446,1.6781,1.7113,1.7445,1.7784,1.8129,1.8476,1.8822,1.9161,1.9485,1.9784,2.0066,1.4431,1.4424,1.4428,1.4442,1.4421,1.4399,1.438,1.4367,1.4361,1.4361,1.4365,1.4372,1.4382,1.4395,1.4411,1.4452,1.4528,1.4618,1.4709,1.4799,1.4904,1.5004,1.5079,1.5119,1.5131,1.5101,1.503,1.4904,1.4728,1.4525
0.036,1.0283,1.0632,1.098,1.1327,1.1675,1.2023,1.2371,1.2719,1.3068,1.3417,1.3766,1.4115,1.4463,1.4812,1.516,1.5506,1.585,1.6192,1.6532,1.6869,1.7198,1.7527,1.7864,1.821,1.8559,1.8907,1.9256,1.958,1.9855,2.0113,1.4384,1.4396,1.4419,1.4443,1.4409,1.4377,1.4347,1.4325,1.4315,1.4319,1.4327,1.4338,1.4352,1.4369,1.4396,1.444,1.4501,1.4572,1.4647,1.474,1.4857,1.4973,1.5062,1.5109,1.5129,1.5135,1.5102,1.4977,1.4759,1.4525
0.04,1.0236,1.0586,1.0936,1.1285,1.1635,1.1985,1.2334,1.2684,1.3034,1.3384,1.3734,1.4084,1.4434,1.4784,1.5132,1.5479,1.5824,1.6168,1.651,1.6847,1.7183,1.752,1.7859,1.8199,1.8542,1.8889,1.9238,1.9573,1.9876,2.016,1.4431,1.443,1.4434,1.4451,1.4429,1.4414,1.44,1.4389,1.438,1.4368,1.4355,1.4343,1.4337,1.4343,1.4375,1.4425,1.4485,1.4548,1.4621,1.4716,1.4816,1.4909,1.4997,1.5079,1.515,1.5199,1.5197,1.5095,1.4917,1.4714
0.044,1.0283,1.063,1.0977,1.1324,1.167,1.2015,1.2361,1.2707,1.3055,1.3402,1.3749,1.4096,1.4443,1.479,1.5137,1.5482,1.5826,1.6168,1.6509,1.6847,1.7175,1.7499,1.783,1.8171,1.8515,1.886,1.9207,1.9547,1.9862,2.016,1.4431,1.4426,1.4429,1.4439,1.4404,1.437,1.434,1.4319,1.4314,1.4317,1.4322,1.4331,1.4342,1.4354,1.437,1.4402,1.4452,1.4512,1.4578,1.4656,1.4769,1.4894,1.5,1.5067,1.5112,1.5148,1.5157,1.5084,1.4938,1.4761
0.048,1.0236,1.0584,1.0932,1.1277,1.1626,1.1973,1.2321,1.267,1.3018,1.3367,1.3716,1.4065,1.4414,1.4763,1.5112,1.546,1.5806,1.615,1.6493,1.6833,1.7161,1.7481,1.7807,1.8144,1.8486,1.8833,1.9182,1.9525,1.985,2.016,1.4384,1.4406,1.4441,1.4483,1.4453,1.4424,1.4396,1.4376,1.4364,1.4357,1.4352,1.4346,1.4342,1.4339,1.4345,1.4374,1.4419,1.4478,1.4541,1.4619,1.4741,1.488,1.5003,1.5095,1.5163,1.5207,1.5205,1.5141,1.5016,1.4855
0.052,1.033,1.0679,1.1028,1.1377,1.1726,1.2075,1.2424,1.2773,1.3122,1.3471,1.382,1.4169,1.4519,1.4868,1.5217,1.5566,1.5913,1.6257,1.6599,1.6938,1.7268,1.7593,1.7921,1.8258,1.8595,1.8937,1.9286,1.9634,1.9974,2.0301,1.4431,1.4438,1.4428,1.4411,1.4388,1.4373,1.4358,1.4346,1.4336,1.4325,1.4316,1.4309,1.4308,1.4315,1.4328,1.4347,1.4386,1.4445,1.4517,1.4603,1.4716,1.4844,1.4964,1.5055,1.5149,1.522,1.5229,1.5197,1.5117,1.4996
0.056,1.033,1.0678,1.1025,1.1372,1.1719,1.2067,1.2414,1.2762,1.3109,1.3456,1.3803,1.4149,1.4497,1.4844,1.5191,1.5538,1.5884,1.623,1.6573,1.691,1.7243,1.7574,1.7902,1.8223,1.8544,1.8877,1.9224,1.9571,1.9916,2.0254,1.4431,1.4425,1.443,1.4449,1.4431,1.4422,1.4414,1.4404,1.4391,1.4368,1.4339,1.4313,1.4299,1.4305,1.4328,1.4358,1.439,1.4427,1.4484,1.4568,1.4667,1.4772,1.4889,1.5023,1.5156,1.5256,1.5277,1.5261,1.5218,1.5137
0.06,1.033,1.068,1.103,1.1379,1.1728,1.2077,1.2426,1.2776,1.3126,1.3476,1.3824,1.4173,1.4523,1.4873,1.5222,1.5572,1.5921,1.6269,1.6617,1.6959,1.7295,1.7627,1.7957,1.8274,1.8586,1.8912,1.926,1.961,1.9958,2.0301,1.4431,1.4439,1.4449,1.4458,1.4428,1.441,1.4395,1.4387,1.4384,1.4371,1.4335,1.4336,1.4317,1.4314,1.4325,1.4343,1.4367,1.4396,1.4436,1.4506,1.4607,1.4716,1.4831,1.498,1.5138,1.5265,1.53,1.5286,1.525,1.5184
0.064,1.033,1.0676,1.1022,1.1368,1.1715,1.2063,1.241,1.2757,1.3105,1.3453,1.38,1.4148,1.4495,1.4843,1.519,1.5538,1.5885,1.6232,1.6578,1.6919,1.7253,1.7585,1.7912,1.8224,1.8535,1.8865,1.9212,1.9559,1.9907,2.0254,1.4478,1.4443,1.441,1.4386,1.4372,1.4385,1.4387,1.4386,1.4383,1.4377,1.4369,1.4362,1.4357,1.4356,1.4355,1.4356,1.4364,1.4383,1.4422,1.4489,1.4583,1.4686,1.4804,1.4959,1.5114,1.5221,1.5249,1.5264,1.5274,1.5278
0.068,1.0424,1.0771,1.1117,1.1463,1.181,1.2156,1.2503,1.285,1.3197,1.3543,1.389,1.4236,1.4582,1.4928,1.5275,1.5622,1.5968,1.6315,1.666,1.7003,1.7339,1.7671,1.7997,1.8306,1.8604,1.8917,1.9262,1.9609,1.9956,2.0301,1.4384,1.4393,1.4408,1.4429,1.4408,1.4397,1.4388,1.4385,1.4385,1.4383,1.437,1.4342,1.4318,1.4324,1.4321,1.4331,1.4347,1.4369,1.4399,1.4451,1.4537,1.4639,1.4756,1.4913,1.5092,1.5239,1.5278,1.5275,1.5261,1.5231
0.072,1.0377,1.0725,1.1069,1.1405,1.1754,1.2101,1.2449,1.2797,1.3144,1.3492,1.3839,1.4186,1.4533,1.488,1.5228,1.5576,1.5924,1.6271,1.6619,1.6961,1.7303,1.7639,1.7967,1.8282,1.8584,1.8894,1.9227,1.9565,1.9908,2.0254,1.429,1.429,1.4335,1.4422,1.4431,1.4429,1.4425,1.442,1.4412,1.4396,1.4376,1.4353,1.4331,1.4308,1.4298,1.43,1.4309,1.4325,1.4341,1.4402,1.4462,1.4553,1.4669,1.4816,1.4989,1.5146,1.5248,1.5328,1.5389,1.5419
0.076,1.0377,1.0727,1.1077,1.1426,1.1777,1.2127,1.2477,1.2827,1.3177,1.3527,1.3877,1.4227,1.4577,1.4927,1.5277,1.5627,1.5977,1.6327,1.6677,1.7026,1.7377,1.7714,1.8052,1.8365,1.8659,1.8961,1.9285,1.9619,1.9957,2.0301,1.4384,1.4405,1.4398,1.4384,1.4389,1.4399,1.4404,1.4407,1.4407,1.4401,1.4389,1.4376,1.4363,1.4353,1.4342,1.434,1.4346,1.4355,1.4367,1.4387,1.4414,1.4503,1.4594,1.4751,1.4942,1.5119,1.5251,1.5357,1.5449,1.5513
0.08,1.0377,1.0724,1.1069,1.1411,1.1758,1.2105,1.2452,1.2799,1.3146,1.3493,1.384,1.4187,1.4533,1.488,1.5227,1.5573,1.592,1.6267,1.6614,1.696,1.7307,1.7643,1.798,1.8311,1.8632,1.893,1.9223,1.9538,1.9868,2.0207,1.4337,1.4338,1.4363,1.4423,1.4419,1.4415,1.4411,1.4409,1.4408,1.4408,1.4406,1.44,1.439,1.4374,1.4361,1.4349,1.4338,1.4332,1.4334,1.4348,1.4373,1.4456,1.4542,1.4644,1.4776,1.4954,1.5139,1.5285,1.5391,1.5466
